year,optimal_excess_return,AAPL,AMZN,BA,BAC,BLK,CAT,CL,COP,D,DIS,GE,JNJ,JPM,KO,MCD,MMM,MSFT,NKE,NOC,NVDA,OXY,PFE,PG,SO,SPG,T,TSM,UNH,UPS,VMC,XOM
2007,0.2021908960585181,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0
2008,0.014332682592071315,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0
2009,-0.2060180719472794,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1
2010,0.315299039865744,0.0609,0.037,0.0757,0.0471,0.0649,0.0844,0.0,0.0616,0.0,0.073,0.0739,0.0,0.02,0.0,0.0072,0.0003,0.04,0.0,0.0443,0.041,0.0606,0.0086,0.0,0.0,0.075,0.0266,0.0199,0.0302,0.0007,0.0471,0.0
2011,0.14711682527664055,0.0549,0.0303,0.0684,0.033,0.0552,0.0712,0.0,0.0764,0.0052,0.0759,0.0672,0.0189,0.0307,0.0178,0.0,0.014,0.0584,0.0028,0.0571,0.0338,0.045,0.0071,0.0,0.0,0.0491,0.0233,0.0372,0.0249,0.0052,0.0367,0.0002
2012,-0.0034256451984807125,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1
2013,0.16961858611387567,0.0533,0.0321,0.0602,0.0241,0.0554,0.0585,0.0,0.0725,0.0084,0.0679,0.0499,0.0115,0.0325,0.0014,0.0,0.0354,0.0567,0.0135,0.0578,0.0226,0.0685,0.0165,0.0,0.0,0.0383,0.0175,0.0466,0.0234,0.0275,0.0254,0.0225
2014,0.4208526703841953,0.0063,0.0096,0.0538,0.0428,0.0865,0.078,0.0,0.065,0.0,0.0952,0.0852,0.0,0.0802,0.0,0.0,0.0694,0.0331,0.0237,0.0564,0.024,0.0711,0.014,0.0,0.0,0.0327,0.0,0.023,0.0,0.0148,0.0345,0.0007
2015,0.15765106679742816,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2016,-0.003381684075809542,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0
2017,0.13739752860315832,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.25440528677693386,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,-0.03516607640433537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2020,0.4115460517124414,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2021,0.23510821621947592,0.1,0.0988,0.0485,0.1,0.0912,0.0003,0.0,0.0796,0.0,0.0754,0.0,0.0,0.054,0.0,0.0,0.0043,0.0,0.0,0.0,0.0648,0.0511,0.0,0.0,0.0,0.0629,0.0,0.027,0.0,0.0473,0.0,0.0949
2022,0.35898932452340837,0.1,0.0889,0.0529,0.1,0.1,0.0,0.0,0.0586,0.0,0.0945,0.0,0.0,0.0371,0.0,0.0,0.0123,0.0,0.0,0.0,0.0671,0.0641,0.0,0.0,0.0,0.0685,0.0,0.0,0.0,0.0855,0.0,0.0704
